method,lr,step,x,y,loss
Adam_Sequential,0.001,12,-1.38508,-0.240105,231374
Adam_Sequential,0.001,13,-1.38408,-0.239109,231143
Adam_Sequential,0.001,14,-1.38309,-0.238115,230912
Adam_Sequential,0.001,15,-1.38209,-0.23712,230681
Adam_Sequential,0.001,16,-1.38109,-0.236127,230450
Adam_Sequential,0.001,17,-1.3801,-0.235134,230220
Adam_Sequential,0.001,18,-1.37911,-0.234142,229989
Adam_Sequential,0.001,19,-1.37811,-0.233151,229760
Adam_Sequential,0.001,20,-1.37712,-0.232161,229530
Adam_Sequential,0.001,21,-1.37613,-0.231172,229300
Adam_Sequential,0.001,22,-1.37514,-0.230184,229071
Adam_Sequential,0.001,23,-1.37415,-0.229197,228842
Adam_Sequential,0.001,24,-1.37316,-0.228211,228614
Adam_Sequential,0.001,25,-1.37217,-0.227226,228385
Adam_Sequential,0.001,26,-1.37119,-0.226242,228157
Adam_Sequential,0.001,27,-1.3702,-0.22526,227929
Adam_Sequential,0.001,28,-1.36922,-0.224278,227701
Adam_Sequential,0.001,29,-1.36823,-0.223298,227474
Adam_Sequential,0.001,30,-1.36725,-0.222319,227247
Adam_Sequential,0.001,31,-1.36627,-0.221341,227020
Adam_Sequential,0.001,32,-1.36529,-0.220365,226793
Adam_Sequential,0.001,33,-1.36431,-0.21939,226567
Adam_Sequential,0.001,34,-1.36333,-0.218416,226341
Adam_Sequential,0.001,35,-1.36235,-0.217443,226115
Adam_Sequential,0.001,36,-1.36137,-0.216472,225890
Adam_Sequential,0.001,37,-1.36039,-0.215502,225665
Adam_Sequential,0.001,38,-1.35942,-0.214534,225440
Adam_Sequential,0.001,39,-1.35845,-0.213567,225215
Adam_Sequential,0.001,40,-1.35747,-0.212601,224990
Adam_Sequential,0.001,41,-1.3565,-0.211637,224766
Adam_Sequential,0.001,42,-1.35553,-0.210674,224542
Adam_Sequential,0.001,43,-1.35456,-0.209713,224319
Adam_Sequential,0.001,44,-1.35359,-0.208753,224095
Adam_Sequential,0.001,45,-1.35263,-0.207794,223872
Adam_Sequential,0.001,46,-1.35166,-0.206837,223650
Adam_Sequential,0.001,47,-1.35069,-0.205882,223427
Adam_Sequential,0.001,48,-1.34973,-0.204928,223205
Adam_Sequential,0.001,49,-1.34877,-0.203975,222983
Adam_Sequential,0.001,50,-1.34781,-0.203024,222761
Adam_Sequential,0.001,51,-1.34685,-0.202075,222539
Adam_Sequential,0.001,52,-1.34589,-0.201127,222318
Adam_Sequential,0.001,53,-1.34493,-0.20018,222097
Adam_Sequential,0.001,54,-1.34397,-0.199236,221877
Adam_Sequential,0.001,55,-1.34302,-0.198292,221656
Adam_Sequential,0.001,56,-1.34206,-0.19735,221436
Adam_Sequential,0.001,57,-1.34111,-0.19641,221216
Adam_Sequential,0.001,58,-1.34016,-0.195471,220997
Adam_Sequential,0.001,59,-1.33921,-0.194534,220777
Adam_Sequential,0.001,60,-1.33826,-0.193598,220558
Adam_Sequential,0.001,61,-1.33731,-0.192664,220339
Adam_Sequential,0.001,62,-1.33636,-0.191732,220121
Adam_Sequential,0.001,63,-1.33541,-0.190801,219903
Adam_Sequential,0.001,64,-1.33447,-0.189871,219685
Adam_Sequential,0.001,65,-1.33352,-0.188943,219467
Adam_Sequential,0.001,66,-1.33258,-0.188017,219249
Adam_Sequential,0.001,67,-1.33164,-0.187092,219032
Adam_Sequential,0.001,68,-1.3307,-0.186169,218815
Adam_Sequential,0.001,69,-1.32976,-0.185248,218598
Adam_Sequential,0.001,70,-1.32882,-0.184328,218382
Adam_Sequential,0.001,71,-1.32789,-0.183409,218166
Adam_Sequential,0.001,72,-1.32695,-0.182492,217950
Adam_Sequential,0.001,73,-1.32602,-0.181577,217734
Adam_Sequential,0.001,74,-1.32508,-0.180664,217519
Adam_Sequential,0.001,75,-1.32415,-0.179751,217304
Adam_Sequential,0.001,76,-1.32322,-0.178841,217089
Adam_Sequential,0.001,77,-1.32229,-0.177932,216874
Adam_Sequential,0.001,78,-1.32136,-0.177025,216660
Adam_Sequential,0.001,79,-1.32043,-0.176119,216446
Adam_Sequential,0.001,80,-1.31951,-0.175215,216232
Adam_Sequential,0.001,81,-1.31858,-0.174312,216019
Adam_Sequential,0.001,82,-1.31766,-0.173411,215805
Adam_Sequential,0.001,83,-1.31673,-0.172512,215592
Adam_Sequential,0.001,84,-1.31581,-0.171614,215379
Adam_Sequential,0.001,85,-1.31489,-0.170718,215167
Adam_Sequential,0.001,86,-1.31397,-0.169824,214955
Adam_Sequential,0.001,87,-1.31305,-0.168931,214743
Adam_Sequential,0.001,88,-1.31214,-0.168039,214531
Adam_Sequential,0.001,89,-1.31122,-0.167149,214319
Adam_Sequential,0.001,90,-1.31031,-0.166261,214108
Adam_Sequential,0.001,91,-1.30939,-0.165375,213897
Adam_Sequential,0.001,92,-1.30848,-0.16449,213686
Adam_Sequential,0.001,93,-1.30757,-0.163606,213476
Adam_Sequential,0.001,94,-1.30666,-0.162725,213266
Adam_Sequential,0.001,95,-1.30575,-0.161844,213056
Adam_Sequential,0.001,96,-1.30484,-0.160966,212846
Adam_Sequential,0.001,97,-1.30394,-0.160089,212636
Adam_Sequential,0.001,98,-1.30303,-0.159214,212427
Adam_Sequential,0.001,99,-1.30213,-0.15834,212218
